side,failed,day_move_pct,fail_time,opp_accept,re_accept,first_after_fail,close_against,close_beyond_opp,close_back_beyond_orig
long,True,1.145475372279492,10:30:00,False,True,same,False,False,True
long,True,-0.1730516768110646,15:30:00,False,False,none,True,False,False
long,True,0.20908004778972256,10:15:00,False,True,same,False,False,True
long,True,0.8023774145616613,10:45:00,False,True,same,False,False,True
short,False,-1.2413548501507332,,,,,,,
short,True,1.0445266801957676,10:15:00,True,False,opposite,True,True,False
long,True,0.32554010062149086,11:45:00,True,True,opposite,False,False,True
long,True,-0.05935774915415415,10:45:00,False,True,same,True,False,False
long,True,-1.059986972227167,12:00:00,True,False,opposite,True,True,False
short,True,-0.4435387197314844,14:45:00,False,True,same,False,False,False
short,True,0.18098455598456464,12:15:00,True,False,opposite,True,False,False
short,False,-1.2302706595450963,,,,,,,
long,True,0.1580162878327407,15:00:00,False,True,same,False,False,True
long,True,0.21401819154629464,15:15:00,False,True,same,False,False,True
short,True,-0.11225333805978677,11:30:00,False,True,same,False,False,False
long,True,-1.0178719375073975,14:15:00,True,False,opposite,True,True,False
long,True,0.7452818848419307,10:30:00,False,True,same,False,False,True
short,True,0.03589804953929576,12:30:00,False,True,same,True,False,False
long,True,0.11914690813772388,12:30:00,True,True,opposite,False,False,True
long,True,-0.5818440895327459,13:30:00,True,True,same,True,True,False
long,False,1.7182745659567011,,,,,,,
long,True,0.08777062609712782,10:15:00,True,False,opposite,False,False,False
short,True,-0.45504929700717067,10:30:00,False,True,same,False,False,True
long,True,-0.47211050883022576,14:15:00,True,False,opposite,True,True,False
long,True,0.39749810019289455,10:30:00,False,True,same,False,False,True
short,True,0.7088489919237828,11:45:00,True,False,opposite,True,True,False
long,True,0.34624040625541586,11:15:00,True,True,opposite,False,False,True
short,False,-1.346319106273275,,,,,,,
short,False,-0.35341830822710474,,,,,,,
short,False,-1.1360343128731132,,,,,,,
long,True,-0.06444808999296336,10:15:00,True,True,opposite,True,False,False
long,False,0.428202721726878,,,,,,,
long,True,-0.9116942317807242,10:30:00,True,False,opposite,True,True,False
long,False,1.6055045871559592,,,,,,,
short,True,0.2195770253091478,11:30:00,False,True,same,True,False,False
long,True,-0.29403286249639615,10:30:00,True,False,opposite,True,False,False
short,False,-1.6242368390738449,,,,,,,
long,True,-0.011714402858320483,13:00:00,False,True,same,True,False,False
short,False,-0.5197383788834387,,,,,,,
long,True,0.01761390324095391,10:30:00,True,False,opposite,False,False,False
long,True,1.3980651250590004,10:30:00,False,True,same,False,False,True
