date,side,orb_range,accept_close,p1_pull_pts,p1_pull_pct_range,p1_dist_level_pts,p1_dist_level_pct_range,p1_reentered,p1_closed_cont,already_beyond_pdh,touched_pdh,mins_to_pdh,pull_before_pdh_pts,pull_before_pdh_pct_range,dist_level_before_pdh_pts,dist_level_before_pdh_pct_range,eod_close_beyond_pdh,touched_pdh_daily,already_beyond_pdh_daily
2015-02-06,long,21.89999999999964,4267.6,3.300000000000182,15.06849315068601,2.9000000000005457,13.2420091324228,False,False,True,True,0.0,1.5,6.849315068493262,4.700000000000728,21.46118721461555,False,True,False
2015-02-09,short,19.299999999999272,4205.3,11.5,59.58549222798152,-8.699999999999818,-45.07772020725464,True,False,True,True,0.0,1.8999999999996362,9.844559585490714,0.9000000000005457,4.663212435236163,False,False,False
2015-02-10,long,16.0,4250.1,1.2000000000007276,7.5000000000045475,1.699999999999818,10.624999999998863,False,True,True,True,0.0,0.7000000000007276,4.3750000000045475,2.199999999999818,13.749999999998863,True,True,False
2015-02-11,long,15.099999999999454,4298.1,3.0,19.86754966887489,-0.0999999999994543,-0.6622516556255491,True,False,True,True,0.0,1.7000000000007276,11.25827814570059,1.199999999999818,7.947019867548752,True,False,False
2015-02-12,long,14.199999999999818,4332.3,0.6999999999998181,4.929577464787514,0.8000000000001819,5.633802816902762,False,True,True,True,0.0,0.4000000000005457,2.816901408454583,1.0999999999994543,7.746478873235693,True,False,False
2015-02-13,short,10.0,4351.7,6.400000000000546,64.00000000000546,-2.800000000000182,-28.00000000000182,True,False,False,False,,,,,,False,False,False
2015-02-17,long,12.5,4385.7,12.099999999999454,96.79999999999563,-10.5,-84.0,True,False,False,False,,,,,,False,True,False
2015-02-18,short,8.200000000000728,4377.5,9.399999999999636,114.63414634144881,-8.0,-97.56097560974743,True,False,False,False,,,,,,False,False,False
2015-02-19,long,14.399999999999636,4406.3,0.4000000000005457,2.7777777777816373,2.899999999999636,20.13888888888687,False,True,True,True,0.0,0.4000000000005457,2.7777777777816373,2.899999999999636,20.13888888888687,True,False,False
2015-02-20,long,18.199999999999815,4417.8,1.699999999999818,9.340659340658435,0.6000000000003638,3.296703296705329,False,False,True,True,0.0,-0.1999999999998181,-1.0989010989001107,2.5,13.736263736263876,True,True,False
2015-02-23,short,9.300000000000182,4433.3,9.0,96.7741935483852,-6.900000000000546,-74.19354838710119,True,False,False,False,,,,,,False,False,False
2015-02-24,long,11.600000000000364,4444.5,3.5,30.172413793102503,-3.100000000000364,-26.72413793103678,True,False,False,True,38.0,3.5,30.172413793102503,-3.100000000000364,-26.72413793103678,True,True,False
2015-02-25,long,6.699999999999818,4449.2,4.800000000000182,71.64179104478077,-1.5,-22.388059701493145,True,False,False,True,96.0,6.0,89.55223880597258,-2.699999999999818,-40.298507462684945,False,True,False
2015-02-26,long,18.5,4451.4,2.0,10.81081081081081,-1.2000000000007276,-6.48648648649042,True,False,False,True,122.0,5.799999999999272,31.351351351347418,-5.0,-27.027027027027028,True,False,False
2015-02-27,short,15.800000000000182,4446.3,1.800000000000182,11.39240506329216,-0.3000000000001819,-1.8987341772163193,True,True,False,False,,,,,,False,True,False
2015-03-02,long,19.5,4472.9,1.8999999999996362,9.74358974358788,1.0,5.128205128205128,False,True,True,True,0.0,0.7999999999992724,4.102564102560372,2.100000000000364,10.769230769232635,True,True,False
